Year,Quarter,Type of employment,Sex,Value
2016,January,Formal,Male,242000.0
2016,January,Formal,Female,216800.0
2017,January,Formal,Male,237100.0
2017,January,Formal,Female,238200.0
2017,January,Formal,Total,520300.0
2017,January,Informal,Male,277800.0
2017,January,Informal,Female,188700.0
2017,January,Informal,Total,466500.0
2017,January,Agriculture,Male,147000.0
2017,January,Agriculture,Female,49500.0
2017,January,Agriculture,Total,196500.0
2017,April,Formal,Male,246700.0
2017,April,Formal,Female,288000.0
2017,April,Formal,Total,594700.0
2017,April,Informal,Male,266800.0
2017,April,Informal,Female,194000.0
2017,April,Informal,Total,468000.0
2017,April,Agriculture,Male,155100.0
2017,April,Agriculture,Female,51000.0
2017,April,Agriculture,Total,206100.0
2017,July,Formal,Male,257900.0
2017,July,Formal,Female,294900.0
2017,July,Formal,Total,552800.0
2017,July,Informal,Male,273300.0
2017,July,Informal,Female,196300.0
2017,July,Informal,Total,469600.0
2017,July,Agriculture,Male,144400.0
2017,July,Agriculture,Female,45400.0
2017,July,Agriculture,Total,189800.0
2017,October,Formal,Male,240800.0
2017,October,Formal,Female,290400.0
2017,October,Formal,Total,531200.0
2017,October,Informal,Male,290600.0
2017,October,Informal,Female,197500.0
2017,October,Informal,Total,488100.0
2017,October,Agriculture,Male,138200.0
2017,October,Agriculture,Female,49400.0
2017,October,Agriculture,Total,187600.0
2018,January,Formal,Male,232100.0
2018,January,Formal,Female,281000.0
2018,January,Formal,Total,513100.0
2018,January,Informal,Male,285800.0
2018,January,Informal,Female,210500.0
2018,January,Informal,Total,496300.0
2018,January,Agriculture,Male,146100.0
2018,January,Agriculture,Female,48500.0
2018,January,Agriculture,Total,194600.0
2018,April,Formal,Male,245300.0
2018,April,Formal,Female,289600.0
2018,April,Formal,Total,534900.0
2018,April,Informal,Male,282600.0
2018,April,Informal,Female,202800.0
2018,April,Informal,Total,485400.0
2018,April,Agriculture,Male,145400.0
2018,April,Agriculture,Female,48800.0
2018,April,Agriculture,Total,194200.0
2018,July,Formal,Male,261800.0
2018,July,Formal,Female,300100.0
2018,July,Formal,Total,561900.0
2018,July,Informal,Male,280400.0
2018,July,Informal,Female,195800.0
2018,July,Informal,Total,476200.0
2018,July,Agriculture,Male,138100.0
2018,July,Agriculture,Female,46400.0
2018,July,Agriculture,Total,184500.0
2018,October,Formal,Male,249500.0
2018,October,Formal,Female,297700.0
2018,October,Formal,Total,547200.0
2018,October,Informal,Male,284100.0
2018,October,Informal,Female,200700.0
2018,October,Informal,Total,484800.0
2018,October,Agriculture,Male,138500.0
2018,October,Agriculture,Female,48600.0
2018,October,Agriculture,Total,187100.0
2019,January,Formal,Male,253900.0
2019,January,Formal,Female,303600.0
2019,January,Formal,Total,557500.0
2019,January,Informal,Male,281100.0
2019,January,Informal,Female,281100.0
2019,January,Informal,Total,489500.0
2019,January,Agriculture,Male,139200.0
2019,January,Agriculture,Female,47800.0
2019,January,Agriculture,Total,187000.0
2019,April,Formal,Male,264500.0
2019,April,Formal,Female,314100.0
2019,April,Formal,Total,578600.0
2019,April,Informal,Male,281900.0
2019,April,Informal,Female,195700.0
2019,April,Informal,Total,477600.0
2019,April,Agriculture,Male,145100.0
2019,April,Agriculture,Female,45200.0
2019,April,Agriculture,Total,190300.0
2019,July,Formal,Male,263400.0
2019,July,Formal,Female,320000.0
2019,July,Formal,Total,583400.0
2019,July,Informal,Male,286900.0
2019,July,Informal,Female,198200.0
2019,July,Informal,Total,485100.0
2019,July,Agriculture,Male,144300.0
2019,July,Agriculture,Female,44000.0
2019,July,Agriculture,Total,188300.0
2019,October,Formal,Male,263400.0
2019,October,Formal,Female,319800.0
2019,October,Formal,Total,583200.0
