Value,Disaggregation combinations using this value,Number of indicators
Child Labour Rural Area,1,1
Child Labour Urban Area,1,1
Percentage of Children aged 5-17 Years in Child Labour - Fourth,1,1
Percentage of Children aged 5-17 Years in Child Labour - Middle,1,1
Percentage of Children aged 5-17 Years in Child Labour - Poorest,1,1
Percentage of Children aged 5-17 Years in Child Labour - Richest,1,1
Percentage of Children aged 5-17 Years in Child Labour - Second,1,1
Percentage of Children aged 5-17 Years in Child Labour,10,1
Proportion of Boys doing Hazardous Work (%),1,1
Proportion of Boys in Child Labour other than Hazardous Work,1,1
Proportion of boys in Child Labour,1,1
Proportion of Child Labour other than Hazardous Work (Total),1,1
Proportion of children 13-14 years doing Hazardous Work,1,1
Proportion of Children 13-14 years in Child Labour,1,1
Proportion of children 15-17 years doing Hazardous Work,1,1
Proportion of Children 15-17 years in Child Labour,1,1
Proportion of children 5-12 years doing Hazardous Work,1,1
Proportion of Children 5-12 years in Child Labour,1,1
Proportion of Children in Child Labour (Total),1,1
Proportion of children Rural Areas doing Hazardous Work,1,1
Proportion of children Urban Areas doing Hazardous Work,1,1
Proportion of Girls doing Hazardous Work (%),1,1
Proportion of Girls in Child Labour other than Hazardous Work,1,1
Proportion of Girls in Child Labour,1,1
Proprtion of Children 13-14 years in Child Labour other than Hazardous Work,1,1
Proprtion of Children 15-17 years in Child Labour other than Hazardous Work,1,1
Proprtion of Children 5-12 years in Child Labour other than Hazardous Work,1,1
Proprtion of Children in Rural Areas in Child Labour other than Hazardous Work,1,1
Proprtion of Children in Urban Areas in Child Labour other than Hazardous Work,1,1
Total Children doing Hazardous Work (%),1,1
