Value,Disaggregation combinations using this value,Number of indicators
Amount going to large equipment,1,1
E waste exported,1,1
Exports of hazardous wastes applications approved,1,1
Exports of hazardous wastes applications received,1,1
Lead sulphate exported,1,1
Obsolete pesticide exported,1,1
of which lamps,1,1
of which small equipment,1,1
of which: Small IT and telecommunication equipment,1,1
Paint Related Waste exported,1,1
Screens monitors and equipment containing screens (..),1,1
Small E-waste,1,1
Solid contaminated with polychlorinatedbiphenyl (PCB) exported,1,1
Temperature exchange equipment (Cooling and Freezing Equipment),1,1
Total applications approved,1,1
Total applications received,1,1
Total E-waste generated,1,1
Total exported,1,1
Transit of hazardous wastes applications approved,1,1
Transit of hazardous wastes applications received,1,1
Used lead acid batteries exported,1,1
