Value,Disaggregation combinations using this value,Number of indicators
Amount of water- and sanitation-related official development assistance,1,1
Central Government Expenditure,1,1
Central Government Revenue and Grants,1,1
Developing Countries,1,1
Domestic wastewater generated (sum of other economic and private),1,1
% FDI / Central Government Expenditure,1,1
Fiscal Year GDP,1,1
Foreign Direct Investment (FDI),1,1
Forest area annual net change rate,1,1
GDP (Current),1,1
General Government Revenue and Grants,1,1
Gini Coefficient,1,1
Groundwater (Reporting basin district area (in km²)),8,1
Jamaica,1,1
Lakes and rivers permanent water area change (%),1,1
Lakes and rivers permanent water area (% of total land area),1,1
Lakes and rivers permanent water area (square kilometres),1,1
Lakes and rivers seasonal water area change (%),1,1
Lakes and rivers seasonal water area (% of total land area),1,1
Lakes and rivers seasonal water area (square kilometres),1,1
Level of Water Stress,1,1
Number of Female Managers,8,2
% ODA / Central Government Expenditure,1,1
Official Development Assistance (ODA),1,1
Other economic activities (services) (NACE/ISIC 45-99),1,1
Percentage of Tax Revenue to Central Government Expenditure,1,1
Private households,1,1
Proportion of Central Government Revenue to GDP,1,1
Proportion of forest area located within legally-established protected areas,1,1
Proportion of forest area under a long-term forest management plan,1,1
Proportion of Women in Managerial Positions,8,2
Remittance as a  proportion of GDP,1,1
Remittance Inflows,1,1
Rivers (Reporting basin district area (in km²)),12,1
Sum of green cover classes,2,1
Sum of other land cover classes,2,1
Tax Revenue,1,1
Total Managers,8,2
