Value,Disaggregation combinations using this value,Number of indicators
Net attendance rate (adjusted),7,1
Number of local breeds kept in the country,1,1
Number of transboundary breeds (including extinct ones),1,1
Percentage of children (one year before the official primary entry age attending an early childhood education programme),7,1
Percentage of children (one year before the official primary entry age attending primary education),7,1
Situational Context - By Intimate Partner or Family Member,1,1
Situational Context - Committed by Others including Acquaintances,1,1
Total Victims,3,1
Type of Weapon - Gun,2,1
Type of Weapon - Other,2,1
Type of Weapon - Sharp Instrument,2,1
Victim Rate,3,1
