Value,Disaggregation combinations using this value,Number of indicators
17 Years and Under,1,1
18 Years and Older,1,1
Critically Endangered,10,1
Data Deficient,2,1
Endangered,10,1
Extinct in the wild,2,1
Extinct,2,1
Female,1,1
Least Concern,2,1
Lower risk,2,1
Male,1,1
Near Threatened,10,1
Not threatened,2,1
Offenses committed both in home and foreign jurisdictions,5,1
Offenses committed in foreign jurisdictions,5,1
Offenses committed within the home jurisdiction,5,1
Origin country cannot be identified,5,1
Threatened,13,1
Total Amount of Proceeds Forfeited,1,1
Total Amount of Proceeds Seized or Frozen,1,1
Total Number of Cases Investigated,1,1
Total Number of Persons Convicted,1,1
Total Number of Persons Prosecuted,1,1
Total,13,3
Type of Exploitation - Labour,1,1
Type of Exploitation - Sexual,1,1
Vulnerable,10,1
