Value,Disaggregation combinations using this value,Number of indicators
Clarendon,1,1
GKMA,15,4
Greater Kingston Metropolitan Area,12,4
Hanover,1,1
Jamaica,96,26
Kingston,1,1
KMA,22,4
Manchester,1,1
Other Towns,11,3
Other Urban Centre,14,3
Other Urban Centres,19,5
Other Urban Town,1,1
OUC,4,2
Portland,1,1
Rural Area,14,6
Rural,53,7
St Andrew,1,1
St Ann,1,1
St. Catherine,1,1
St Elizabeth,1,1
St James,1,1
St Mary,1,1
St Thomas,1,1
Total,11,1
Trelawny,1,1
Urban Area,2,1
Urban Total,6,1
Urban,29,5
Westmoreland,1,1
