Value,Disaggregation combinations using this value,Number of indicators
Airport Reef West,1,1
Average,1,1
Belmont,1,1
Bloody Bay,1,1
Boscobel Flats,1,1
Boscobel West,1,1
Choicy Reef,1,1
Clarendon,1,1
Classroom Reef,1,1
Commander Reef,1,1
Coral Nursery,1,1
CRHI (overall mean),1,1
Dairy Bull,1,1
Dickies Reef,1,1
Discovery Bay,1,1
Drunkenman's Cay,1,1
El Punto Negrilo,1,1
Falmouth,1,1
Golden Eye Coral Garden,1,1
Gorgo City,1,1
Hellshire,1,1
Hermosa Cove,1,1
Hopewell - Green Island (Hanover),1,1
Ireland Pen,1,1
Kingston,1,1
Lime Cay,1,1
Monkey Island,1,1
Montego Bay Marine Park,1,1
Negril (Hanover/Westmoreland),1,1
Negril Marine Park,1,1
Negril (Special Monitoring),1,1
Ocho Rios Marine Park,1,1
Oracabessa Bay Special Fishery Conservation Area,1,1
Oyster Bay,1,1
Pear Tree Bottom,1,1
Peter Tosh Reef,1,1
Pigeon Island West,1,1
Port Royal Protected Area,1,1
Portland Bight Protected Area,1,1
Portland,1,1
Relocation 1,1,1
RIU Nursery,1,1
Round Hill,1,1
Sandals Boscobel Special Fishery Conservation Area,1,1
Sandals Reef 2,1,1
Sandals Reef,1,1
Sandals Whitehouse Special Fishery Conservation Area,1,1
Savanna-la-mar,1,1
Sergeant Major,1,1
Sewage End,1,1
South East Cay,1,1
St Catherine,1,1
St James,1,1
Sunset Beach Mooring,1,1
Trelawny,1,1
Westmoreland,1,1
Wreck Reef,1,1
