Value,Disaggregation combinations using this value,Number of indicators
Boys Adjusted Net Attendance Ratio (NAR) Lower Secondary School,10,1
Boys Adjusted Net Attendance Ratio (NAR) Primary School,10,1
Boys Adjusted Net Attendance Ratio (NAR) Secondary School,10,1
Boys Adjusted Net Attendance Ratio (NAR) Upper Secondary School,10,1
Girls Adjusted Net Attendance Ratio (NAR) Lower Secondary School,10,1
Girls Adjusted Net Attendance Ratio (NAR) Primary School,10,1
Girls Adjusted Net Attendance Ratio (NAR) Secondary School,10,1
Girls Adjusted Net Attendance Ratio (NAR) Upper Secondary School,10,1
GPI for Adjusted Ratio (NAR) Lower Secondary School,10,1
GPI for Adjusted Ratio (NAR) Primary School,10,1
GPI for Adjusted Ratio (NAR) Secondary School,10,1
GPI for Adjusted Ratio (NAR) Upper Secondary School,10,1
