Value,Disaggregation combinations using this value,Number of indicators
Other,4,1
Percentage of household members in households with improved on-site sanitation facilities from which waste has never been emptied or has been emptied and buried in a covered pit,1,1
Percentage of household members using an improved on-site sanitation facility from which a service provider has removed waste for treatment off-site,1,1
Percentage of household members using improved sanitation facilities which are not shared,5,1
Percentage of household members with a handwashing facility where water and soap or detergent are presen,10,1
Pit Laterine,4,1
Proportion of Households with Exclusive Use of Toilet Facility,4,1
Water Closet Linked to Central Sewer Network,4,1
Water Closet Linked to Offsite Disposal System,4,1
Water Closet Linked to Onsite Disposal System,4,1
Water Closet Not Linked to Sewer,4,1
