Value,Disaggregation combinations using this value,Number of indicators
(%),49,4
'000 boe,9,1
('000 Mwh),5,1
('000 MWh),1,1
('000 tonnes),10,2
('000 Tonnes),9,1
(1000 ha),3,1
%,6,4
(Area %),2,1
Density (per 10.000 population),11,1
Health Index,46,1
Hectares,11,1
(J$ Million),7,3
J$,10,1
(km2 '000),2,1
Km2,2,1
Land Area ( ha),10,1
Marine Area (ha),6,1
(Maternal Mortality Ratio),1,1
(Million Tonnes),4,1
$ Million,6,1
MW,7,1
(Neonatal Mortality Ratio),1,1
Number (000),1,1
Number,184,13
per 100 000 population,16,1
Per 100 inhabitants,4,1
(per 100 inhabitants),1,1
"Per 1,000 women in the specified age group",1,1
per 100.000 adults,2,1
"per 100,000 population",17,2
"Per 100,000 population",15,2
Per 100.000 Population,36,1
per 100.000 population,15,2
(Per cent),5,4
(per cent),3,1
Per cent,77,13
per cent,24,1
"Persons affected per 100,000 population",6,1
"Persons dead per 100,000 population",6,1
(Proportion of Births),2,2
Renewable Energy Watts Per Capita,1,1
Score,13,1
Tonnes,6,1
Total Volume of Waste (tonnes),5,1
(Under five Mortality Ratio),1,1
(US$ Million),3,1
US$ Million,1,1
(US$M),3,1
US$M,1,1
(US$Mn),2,1
Watts,1,1
