Value,Disaggregation combinations using this value,Number of indicators
All vaccinations excluding HIB,4,1
All vaccinations,4,1
BCG,7,1
DPT 1,4,1
DPT 2,4,1
DPT 3,4,1
DPT3,2,1
Hep B 1,4,1
Hep B 2,4,1
Hep B 3,4,1
HepB 3,2,1
Hib 1,4,1
Hib 2,4,1
Hib 3,4,1
Hib3,2,1
Measles,4,1
MMR 1,2,1
MMR 2,2,1
No vaccinations,4,1
Number of children age 18-29 months,4,1
Percentage of children age 12-23 months who received,7,1
Percentage of children age 24-35 months who received,1,1
Polio 1,4,1
Polio 2,4,1
Polio 3,4,1
Polio3,2,1
